,label
0,non_fiction_genre
1,non_fiction_genre
2,non_fiction_genre
3,non_fiction_genre
4,non_fiction_genre
5,non_fiction_genre
6,non_fiction_genre
7,non_fiction_genre
8,non_fiction_genre
9,non_fiction_genre
10,non_fiction_genre
11,non_fiction_genre
12,non_fiction_genre
13,non_fiction_genre
14,non_fiction_genre
15,non_fiction_genre
16,non_fiction_genre
17,non_fiction_genre
18,non_fiction_genre
19,non_fiction_genre
20,non_fiction_genre
21,non_fiction_genre
22,non_fiction_genre
23,non_fiction_genre
24,non_fiction_genre
25,non_fiction_genre
26,non_fiction_genre
27,non_fiction_genre
28,non_fiction_genre
29,non_fiction_genre
30,non_fiction_genre
31,non_fiction_genre
32,non_fiction_genre
33,non_fiction_genre
34,non_fiction_genre
35,non_fiction_genre
36,non_fiction_genre
37,non_fiction_genre
38,non_fiction_genre
39,non_fiction_genre
40,non_fiction_genre
41,non_fiction_genre
42,non_fiction_genre
43,non_fiction_genre
44,non_fiction_genre
45,non_fiction_genre
46,non_fiction_genre
47,non_fiction_genre
48,non_fiction_genre
49,non_fiction_genre
50,non_fiction_genre
51,non_fiction_genre
52,non_fiction_genre
53,non_fiction_genre
54,non_fiction_genre
55,non_fiction_genre
56,non_fiction_genre
57,non_fiction_genre
58,non_fiction_genre
59,non_fiction_genre
60,non_fiction_genre
61,non_fiction_genre
62,non_fiction_genre
63,non_fiction_genre
64,non_fiction_genre
65,non_fiction_genre
66,non_fiction_genre
67,non_fiction_genre
68,non_fiction_genre
69,non_fiction_genre
70,non_fiction_genre
71,non_fiction_genre
72,non_fiction_genre
73,non_fiction_genre
74,non_fiction_genre
75,non_fiction_genre
76,non_fiction_genre
77,non_fiction_genre
78,non_fiction_genre
79,non_fiction_genre
80,non_fiction_genre
81,non_fiction_genre
82,non_fiction_genre
83,non_fiction_genre
84,non_fiction_genre
85,non_fiction_genre
86,non_fiction_genre
87,non_fiction_genre
88,non_fiction_genre
89,non_fiction_genre
90,non_fiction_genre
91,non_fiction_genre
92,non_fiction_genre
93,non_fiction_genre
94,non_fiction_genre
95,non_fiction_genre
96,non_fiction_genre
97,non_fiction_genre
98,non_fiction_genre
99,non_fiction_genre
100,non_fiction_genre
101,non_fiction_genre
102,non_fiction_genre
103,non_fiction_genre
104,non_fiction_genre
105,non_fiction_genre
106,non_fiction_genre
107,non_fiction_genre
108,non_fiction_genre
109,non_fiction_genre
110,non_fiction_genre
111,non_fiction_genre
112,non_fiction_genre
113,non_fiction_genre
114,non_fiction_genre
115,non_fiction_genre
116,non_fiction_genre
117,non_fiction_genre
118,non_fiction_genre
119,non_fiction_genre
120,non_fiction_genre
121,non_fiction_genre
122,non_fiction_genre
123,non_fiction_genre
124,non_fiction_genre
125,non_fiction_genre
126,non_fiction_genre
127,non_fiction_genre
128,non_fiction_genre
129,non_fiction_genre
130,non_fiction_genre
131,non_fiction_genre
132,non_fiction_genre
133,non_fiction_genre
134,non_fiction_genre
135,non_fiction_genre
136,non_fiction_genre
137,non_fiction_genre
138,non_fiction_genre
139,non_fiction_genre
140,non_fiction_genre
141,non_fiction_genre
142,non_fiction_genre
143,non_fiction_genre
144,non_fiction_genre
145,non_fiction_genre
146,non_fiction_genre
147,non_fiction_genre
148,non_fiction_genre
149,non_fiction_genre
150,non_fiction_genre
151,non_fiction_genre
152,non_fiction_genre
153,non_fiction_genre
154,non_fiction_genre
155,non_fiction_genre
156,non_fiction_genre
157,non_fiction_genre
158,non_fiction_genre
159,non_fiction_genre
160,non_fiction_genre
161,non_fiction_genre
162,non_fiction_genre
163,non_fiction_genre
164,non_fiction_genre
165,non_fiction_genre
166,non_fiction_genre
167,non_fiction_genre
168,non_fiction_genre
169,non_fiction_genre
170,non_fiction_genre
171,non_fiction_genre
172,non_fiction_genre
173,non_fiction_genre
174,non_fiction_genre
175,non_fiction_genre
176,non_fiction_genre
177,non_fiction_genre
178,non_fiction_genre
179,non_fiction_genre
180,non_fiction_genre
181,non_fiction_genre
182,non_fiction_genre
183,non_fiction_genre
184,non_fiction_genre
185,non_fiction_genre
186,non_fiction_genre
187,non_fiction_genre
188,non_fiction_genre
189,non_fiction_genre
190,non_fiction_genre
191,non_fiction_genre
192,non_fiction_genre
193,non_fiction_genre
194,non_fiction_genre
195,non_fiction_genre
196,non_fiction_genre
197,non_fiction_genre
198,non_fiction_genre
199,non_fiction_genre
200,non_fiction_genre
201,non_fiction_genre
202,non_fiction_genre
203,non_fiction_genre
204,non_fiction_genre
205,non_fiction_genre
206,non_fiction_genre
207,non_fiction_genre
208,non_fiction_genre
209,non_fiction_genre
210,non_fiction_genre
211,non_fiction_genre
212,non_fiction_genre
213,non_fiction_genre
214,non_fiction_genre
215,non_fiction_genre
216,non_fiction_genre
217,non_fiction_genre
218,non_fiction_genre
219,non_fiction_genre
220,non_fiction_genre
221,non_fiction_genre
222,non_fiction_genre
223,non_fiction_genre
224,non_fiction_genre
225,non_fiction_genre
226,non_fiction_genre
227,non_fiction_genre
228,non_fiction_genre
229,non_fiction_genre
230,non_fiction_genre
231,non_fiction_genre
232,non_fiction_genre
233,non_fiction_genre
234,non_fiction_genre
235,non_fiction_genre
236,non_fiction_genre
237,non_fiction_genre
238,non_fiction_genre
239,non_fiction_genre
240,non_fiction_genre
241,non_fiction_genre
242,non_fiction_genre
243,non_fiction_genre
244,non_fiction_genre
245,non_fiction_genre
246,non_fiction_genre
247,non_fiction_genre
248,non_fiction_genre
249,non_fiction_genre
250,non_fiction_genre
251,non_fiction_genre
252,non_fiction_genre
253,non_fiction_genre
254,non_fiction_genre
255,non_fiction_genre
256,non_fiction_genre
257,non_fiction_genre
258,non_fiction_genre
259,non_fiction_genre
260,non_fiction_genre
261,non_fiction_genre
262,non_fiction_genre
263,non_fiction_genre
264,non_fiction_genre
265,non_fiction_genre
266,non_fiction_genre
267,non_fiction_genre
268,non_fiction_genre
269,non_fiction_genre
270,non_fiction_genre
271,non_fiction_genre
272,non_fiction_genre
273,non_fiction_genre
274,non_fiction_genre
275,non_fiction_genre
276,non_fiction_genre
277,non_fiction_genre
278,non_fiction_genre
279,non_fiction_genre
280,non_fiction_genre
281,non_fiction_genre
282,non_fiction_genre
283,non_fiction_genre
284,non_fiction_genre
285,non_fiction_genre
286,non_fiction_genre
287,non_fiction_genre
288,non_fiction_genre
289,non_fiction_genre
290,non_fiction_genre
291,non_fiction_genre
292,non_fiction_genre
293,non_fiction_genre
294,non_fiction_genre
295,non_fiction_genre
296,non_fiction_genre
297,non_fiction_genre
298,non_fiction_genre
299,non_fiction_genre
300,non_fiction_genre
301,non_fiction_genre
302,non_fiction_genre
303,non_fiction_genre
304,non_fiction_genre
305,non_fiction_genre
306,non_fiction_genre
307,non_fiction_genre
308,non_fiction_genre
309,non_fiction_genre
310,non_fiction_genre
311,non_fiction_genre
312,non_fiction_genre
313,non_fiction_genre
314,non_fiction_genre
315,non_fiction_genre
316,non_fiction_genre
317,non_fiction_genre
318,non_fiction_genre
319,non_fiction_genre
320,non_fiction_genre
321,non_fiction_genre
322,non_fiction_genre
323,non_fiction_genre
324,non_fiction_genre
325,non_fiction_genre
326,non_fiction_genre
327,non_fiction_genre
328,non_fiction_genre
329,non_fiction_genre
330,non_fiction_genre
331,non_fiction_genre
332,non_fiction_genre
333,non_fiction_genre
334,non_fiction_genre
335,non_fiction_genre
336,non_fiction_genre
337,non_fiction_genre
338,non_fiction_genre
339,non_fiction_genre
340,non_fiction_genre
341,non_fiction_genre
342,non_fiction_genre
343,non_fiction_genre
344,non_fiction_genre
345,non_fiction_genre
346,non_fiction_genre
347,non_fiction_genre
348,non_fiction_genre
349,non_fiction_genre
